DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
814264,https://www.berlin.de/sen/finanzen/presse/pressemitteilungen/pressemitteilung.814264.php,24.05.2019,Jahreskonferenz 2019 der Finanzministerinnen und Finanzminister der Länder in Berlin - Top 2 Finanzlage der öffentlichen Haushalte,Senatsverwaltung für Finanzen,814264.html,814264.txt,1244
814257,https://www.berlin.de/sen/finanzen/presse/pressemitteilungen/pressemitteilung.814257.php,24.05.2019,Jahreskonferenz 2019 der Finanzministerinnen und Finanzminister der Länder in Berlin - Top 1 Verbesserungen im steuerlichen Gemeinnützigkeitsrecht,Senatsverwaltung für Finanzen,814257.html,814257.txt,885
814255,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.814255.php,24.05.2019,Neues Leben in alter Schmiede,Bezirksamt Marzahn-Hellersdorf,814255.html,814255.txt,777
814239,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2019/pressemitteilung.814239.php,24.05.2019,Sommerfest im SUZ-Spandau - Gartenarbeitsschule Borkzeile,Bezirksamt Spandau,814239.html,814239.txt,596
814213,https://www.berlin.de/wahlen/pressemitteilungen/2019/pressemitteilung.814213.php,24.05.2019,Einladung zum Pressegespräch: Berlin nach der Wahl,Landeswahlleitung,814213.html,814213.txt,421
814206,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.814206.php,24.05.2019,Alice Salomon Hochschule lädt ein zum Tag der offenen Tür am 4. Juni,Bezirksamt Marzahn-Hellersdorf,814206.html,814206.txt,833
814204,https://www.berlin.de/wahlen/pressemitteilungen/2019/pressemitteilung.814204.php,24.05.2019,Einladung zum Presse- und Fototermin: Dank an die Wahlhelferinnen und Wahlhelfer,Landeswahlleitung,814204.html,814204.txt,468
814200,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.814200.php,24.05.2019,"Erste Dialogveranstaltung der ""Guten Pflege in Marzahn-Hellersdorf“",Bezirksamt Marzahn-Hellersdorf,814200.html,814200.txt,789
813269,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.813269.php,24.05.2019,Zuwendungen für die Kinder- und Jugendarbeit,Bezirksamt Treptow-Köpenick,813269.html,813269.txt,868
814144,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2019/pressemitteilung.814144.php,24.05.2019,Dringender Sanierungsbedarf: Nachnutzung des ehemaligen „Edelweiß“ im Görlitzer Park verzögert sich,Bezirksamt Friedrichshain-Kreuzberg,814144.html,814144.txt,1437
813977,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813977.php,24.05.2019,Sozialverträgliche Modernisierungen in Steglitz-Zehlendorf durch Vereinbarung gesichert!,Bezirksamt Steglitz-Zehlendorf,813977.html,813977.txt,963
813603,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813603.php,24.05.2019,Fotoausstellung - Eröffnung am 29.05.2019 im Rathaus Steglitz,Bezirksamt Steglitz-Zehlendorf,813603.html,813603.txt,770
813397,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813397.php,24.05.2019,"Stefan Schomann: ""Das Glück auf Erden"" - Reisen zu Pferd - Lesung am 27.05.2019",Bezirksamt Steglitz-Zehlendorf,813397.html,813397.txt,798
813273,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813273.php,24.05.2019,"Vom 03.06. bis 28.06.2019 ist das Jugendamt, Fachdienst AV/KB, Bereich Beistandschaften und Beurkundungen geschlossen",Bezirksamt Steglitz-Zehlendorf,813273.html,813273.txt,821
813389,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813389.php,24.05.2019,"Die 67. Steglitzer Woche beginnt mit Volksfest-Spaß und Kultur, Concerts for free",Bezirksamt Steglitz-Zehlendorf,813389.html,813389.txt,1215
