DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
1571189,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1571189.php,18.06.2025,Mehr Sicherheit für Daten und Digitalisierungsprojekte – der neue Data-Governance-Wegweiser,Presse- und Informationsamt des Landes Berlin,1571189.html,1571189.txt,786
1571151,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1571151.php,18.06.2025,Aufruf zur Teilnahme: Online-Befragung Spandauer Unternehmen zur Entwicklung eines bezirklichen Wirtschaftsflächenkonzepts gestartet,Bezirksamt Spandau,1571151.html,1571151.txt,713
1571106,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1571106.php,18.06.2025,Marzahn-Hellersdorf sucht freie Räume für bürgerschaftliches Engagement,Bezirksamt Marzahn-Hellersdorf,1571106.html,1571106.txt,671
1571032,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571032.php,18.06.2025,4. Queere Kunst- und Kulturtage in Lichtenberg,Bezirksamt Lichtenberg,1571032.html,1571032.txt,828
1571030,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1571030.php,18.06.2025,Online-Umfrage zur Sauberkeit und Ordnung in Berlin,Bezirksamt Neukölln,1571030.html,1571030.txt,978
1571042,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571042.php,18.06.2025,"Lesung von Mareike Barmeyer mit „Lauf, Mama, lauf! Geschichten mit Kindern“ in der Bezirkszentralbibliothek",Bezirksamt Friedrichshain-Kreuzberg,1571042.html,1571042.txt,1524
1571021,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1571021.php,18.06.2025,"24. öffentliche Sitzung des Ausschusses für Gebäude, Wirtschaft, Inklusion, Verwaltungsmodernisierung, Digitalisierung",Bezirksamt Steglitz-Zehlendorf,1571021.html,1571021.txt,703
1570984,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570984.php,18.06.2025,Presseeinladung: Hissen der Prideflagge am 09.07.2025 vor dem Rathaus Spandau,Bezirksamt Spandau,1570984.html,1570984.txt,633
1571001,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571001.php,18.06.2025,JazzOrchester X-berg (JOX) gewinnt 1. Platz beim Deutschen Orchesterwettbewerb 2025,Bezirksamt Friedrichshain-Kreuzberg,1571001.html,1571001.txt,1493
1570968,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570968.php,18.06.2025,Sommerzeit ist Badezeit: Der FEZ-Badesee startet in die Saison,Bezirksamt Treptow-Köpenick,1570968.html,1570968.txt,944
1570921,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1570921.php,18.06.2025,Bürgersprechstunden der Bezirksamtsmitglieder und Kiez-Tour mit Bezirksbürgermeister,Bezirksamt Neukölln,1570921.html,1570921.txt,904
1570899,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570899.php,17.06.2025,Reinickendorf gedenkt der Opfer des Volksaufstandes vom 17. Juni 1953,Bezirksamt Reinickendorf,1570899.html,1570899.txt,729
1570886,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570886.php,17.06.2025,Starker Befall mit Eichenprozessionsspinnern im Volkspark Jungfernheide – Teilweise Schließungen und Schutzmaßnahmen,Bezirksamt Charlottenburg-Wilmersdorf,1570886.html,1570886.txt,1313
1570882,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570882.php,17.06.2025,Sichere Schulwege digital: Das neue „Schulwegportal“,Bezirksamt Marzahn-Hellersdorf,1570882.html,1570882.txt,880
1570883,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570883.php,17.06.2025,Modernisiertes Spielfeld am Cosmarweg stärkt Bewegung und Teilhabe,Bezirksamt Spandau,1570883.html,1570883.txt,786
1570857,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570857.php,17.06.2025,"Halt, Beratung und konkrete Hilfe für junge Menschen in Krisensituationen: neue Außenstelle der Manege gGmbH in Hellersdorf eröffnet",Bezirksamt Marzahn-Hellersdorf,1570857.html,1570857.txt,890
1570838,https://www.berlin.de/sen/kultgz/aktuelles/pressemitteilungen/2025/pressemitteilung.1570838.php,17.06.2025,Berliner Gedenktafel für Anna Maria Jokl,Senatsverwaltung für Kultur und Gesellschaftlichen Zusammenhalt,1570838.html,1570838.txt,709
1570754,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570754.php,17.06.2025,Bildungswoche mit Konferenz 2025: Digitale Jugendarbeit im Fokus (23.06. bis 27.06.2025),Bezirksamt Steglitz-Zehlendorf,1570754.html,1570754.txt,1047
1570741,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570741.php,17.06.2025,Fête de la musique – Musikmeile in der Spandauer Altstadt,Bezirksamt Spandau,1570741.html,1570741.txt,807
1570731,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570731.php,17.06.2025,Hitzeschutz für wohnungs- und obdachlose Menschen in Marzahn-Hellersdorf,Bezirksamt Marzahn-Hellersdorf,1570731.html,1570731.txt,848
1570716,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570716.php,17.06.2025,Fantasy bei Mark Twain: Lisanne Surborg liest aus „Nachtlügen“ in Marzahn-Hellersdorf,Bezirksamt Marzahn-Hellersdorf,1570716.html,1570716.txt,692
1570717,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2025/pressemitteilung.1570717.php,17.06.2025,Öffentlichkeitsbeteiligung zu Kiezblocks im Bezirk Mitte: Die zweite Online-Beteiligung ist gestartet,Bezirksamt Mitte,1570717.html,1570717.txt,939
1570638,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570638.php,17.06.2025,Fortschreibung von Lärmaktionsplan und Luftreinhalteplan für Berlin,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt)",1570638.html,1570638.txt,933
1570642,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570642.php,17.06.2025,Mitteilung des Senates zum Abgeordnetenhausbeschluss „Ausreichend Ladesäulen für Berlin“,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt)",1570642.html,1570642.txt,742
1570708,https://www.berlin.de/sen/justv/presse/pressemitteilungen/2025/pressemitteilung.1570708.php,17.06.2025,Justizakademie Berlin eröffnet - Neues Ausbildungszentrum für die Berliner Justiz in Moabit,Senatsverwaltung für Justiz und Verbraucherschutz,1570708.html,1570708.txt,774
1570647,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570647.php,17.06.2025,Senat beschließt Berliner Biodiversitätsstrategie 2030+,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt)",1570647.html,1570647.txt,695
1570670,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570670.php,17.06.2025,Senat beruft zwei neue Mitglieder in den Berliner Klimaschutzrat,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt)",1570670.html,1570670.txt,624
1570669,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570669.php,17.06.2025,Senat stimmt Dienstvertrag mit Matthias Lilienthal als Intendant der Volksbühne zu,Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Kultur und Gesellschaftlichen Zusammenhalt),1570669.html,1570669.txt,576
1570667,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570667.php,17.06.2025,Änderung des Gesetzes über das Vermessungswesen in Berlin,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen)",1570667.html,1570667.txt,634
1570662,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570662.php,17.06.2025,Betriebliches Gesundheitsmanagement und Arbeitgeberattraktivität: Senat schafft Möglichkeiten für Hunde am Arbeitsplatz,Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Finanzen),1570662.html,1570662.txt,724
1570660,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570660.php,17.06.2025,Sachstandsbericht zur Weiterentwicklung der Bürgerämter beschlossen,Presse- und Informationsamt des Landes Berlin,1570660.html,1570660.txt,569
1570650,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570650.php,17.06.2025,Berlin modernisiert Lehrkräftebildung,"Presse- und Informationsamt des Landes Berlin(Senatsverwaltung für Bildung, Jugend und Familie)",1570650.html,1570650.txt,858
1570665,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570665.php,17.06.2025,Seniorenwoche in Berlin: Mit vielen Veranstaltungen für Seniorinnen und Senioren in Treptow-Köpenick,Bezirksamt Treptow-Köpenick,1570665.html,1570665.txt,1155
1570682,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1570682.php,17.06.2025,Im Neuköllner Haushalt drohen drastische Einsparungen,Bezirksamt Neukölln,1570682.html,1570682.txt,1144
1570663,https://www.berlin.de/ba-pankow/aktuelles/pressemitteilungen/2025/pressemitteilung.1570663.php,17.06.2025,Pankower Ausbildungspreis 2025 ausgelobt - Bewerbungen bis 31. Juli 2025 möglich,Bezirksamt Pankow,1570663.html,1570663.txt,744
1570658,https://www.berlin.de/ba-tempelhof-schoeneberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570658.php,17.06.2025,Jetzt bewerben: Förderung für nachbarschaftliche Projekte in der Neuen Mitte Tempelhof,Bezirksamt Tempelhof-Schöneberg,1570658.html,1570658.txt,1042
1570651,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570651.php,17.06.2025,Mayors for Peace – Flagge zeigen für den Frieden,Bezirksamt Spandau,1570651.html,1570651.txt,693
1570610,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570610.php,17.06.2025,"""Tag der Offenen Gesellschaft"" in der Mark-Twain-Zentralbibliothek",Bezirksamt Marzahn-Hellersdorf,1570610.html,1570610.txt,679
1570608,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570608.php,17.06.2025,„Spurensuche“ – Ausstellung von Schüler:innen der Arno-Fuchs-Schule in der Kommunalen Galerie Berlin,Bezirksamt Charlottenburg-Wilmersdorf,1570608.html,1570608.txt,1166
1570582,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570582.php,17.06.2025,"„Marzahn, mon amour“ – Einladung zur kostenlosen Vorführung ein Jahr nach den Dreharbeiten",Bezirksamt Marzahn-Hellersdorf,1570582.html,1570582.txt,847
1570569,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570569.php,17.06.2025,Ausstellung „aufbrechen“ der Jugendkunstschule FRI-X BERG im Projektraum Alte Feuerwache,Bezirksamt Friedrichshain-Kreuzberg,1570569.html,1570569.txt,1581
1569622,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569622.php,17.06.2025,8. Berliner Wassersportfest vom 27. bis 29. Juni 2025 an der Regattastrecke Grünau,Bezirksamt Treptow-Köpenick,1569622.html,1569622.txt,931
1570540,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570540.php,17.06.2025,Presseeinladung: Tag der Offenen Tür im Roten Rathaus,Presse- und Informationsamt des Landes Berlin,1570540.html,1570540.txt,635
1570536,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570536.php,17.06.2025,Museum Reinickendorf – Sommerferienangebote 2025,Bezirksamt Reinickendorf,1570536.html,1570536.txt,777
1570534,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1570534.php,17.06.2025,„Optimismus für Realisten“ - Lesung und Gespräch mit Sina Haghiri,Bezirksamt Neukölln,1570534.html,1570534.txt,869
1570523,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2025/pressemitteilung.1570523.php,17.06.2025,Kulturtipps aus Mitte,Bezirksamt Mitte,1570523.html,1570523.txt,1002
1570538,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570538.php,17.06.2025,"Silvio-Meier-Preis 2025 geht an die Theatermacherin, Autorin und Aktivistin Simone Dede Ayivi und den Verein Suppe & Mucke",Bezirksamt Friedrichshain-Kreuzberg,1570538.html,1570538.txt,1868
1570519,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570519.php,17.06.2025,Neue Einladung zur Engagement Werkstatt Schöneweide am 10. Juli 2025,Bezirksamt Treptow-Köpenick,1570519.html,1570519.txt,1234
1570508,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570508.php,17.06.2025,Gut informiert und aktiv in den Ruhestand: Einladung zu Informationsveranstaltungen,Bezirksamt Marzahn-Hellersdorf,1570508.html,1570508.txt,786
1570469,https://www.berlin.de/sen/web/presse/pressemitteilungen/2025/pressemitteilung.1570469.php,16.06.2025,Berlin stellt neues Esport-Nachwuchsteam vor – 20 Talente starten gefördert in den Profibereich,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",1570469.html,1570469.txt,933
1570459,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570459.php,16.06.2025,"Drei Sprachen, ein Tag: Dein Tor zum Norden",Bezirksamt Spandau,1570459.html,1570459.txt,754
1570455,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570455.php,16.06.2025,Schnupperkurs Qi Gong in der Stadtbibliothek Spandau,Bezirksamt Spandau,1570455.html,1570455.txt,658
1570447,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570447.php,16.06.2025,Digitaltag 2025: Digitalisierung von Archivbeständen,Bezirksamt Spandau,1570447.html,1570447.txt,704
1570440,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570440.php,16.06.2025,Kunst am Bau: Entscheidung im Kunstwettbewerb für den Schulneubau am Stellingdamm/Hirtestraße 10 in Berlin-Köpenick,Bezirksamt Treptow-Köpenick,1570440.html,1570440.txt,1008
1570437,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570437.php,16.06.2025,Lebendige Bücher: Triff dein Vorurteil,Bezirksamt Spandau,1570437.html,1570437.txt,704
1570430,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2025/pressemitteilung.1570430.php,16.06.2025,Aufruf zur Teilnahme am Bürger*innen-Förderfonds „WE ARE LEO“,Bezirksamt Mitte,1570430.html,1570430.txt,960
1570417,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570417.php,16.06.2025,Jugendfreizeiteinrichtung „Würfel“ lädt ein zur „Disco für Alle“,Bezirksamt Treptow-Köpenick,1570417.html,1570417.txt,934
1570381,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570381.php,16.06.2025,„Allee der Klänge“ bezaubert den Augustekiez,Bezirksamt Reinickendorf,1570381.html,1570381.txt,732
1570326,https://www.berlin.de/ba-tempelhof-schoeneberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570326.php,16.06.2025,Naturschutz zum Mitmachen beim NachbarSchatz,Bezirksamt Tempelhof-Schöneberg,1570326.html,1570326.txt,1049
1570342,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570342.php,16.06.2025,Feierliche Eröffnung der Kita Gudrunstraße,Bezirksamt Lichtenberg,1570342.html,1570342.txt,1130
1570281,https://www.berlin.de/ba-tempelhof-schoeneberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570281.php,16.06.2025,Eröffnung der Car-Sharing-Station Goltzstraße,Bezirksamt Tempelhof-Schöneberg,1570281.html,1570281.txt,890
1570284,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570284.php,16.06.2025,"Raum für Beteiligung: „Kieze, Kioske, Kompetenzen!“ am Fürstenplatz",Bezirksamt Charlottenburg-Wilmersdorf,1570284.html,1570284.txt,1202
1570271,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570271.php,16.06.2025,45 Jahre Töne der Freundschaft: Deutsch-Französische Musikschule feiert ihr Jubiläum,Bezirksamt Reinickendorf,1570271.html,1570271.txt,788
1570238,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570238.php,16.06.2025,Spandau empfängt Delegation aus Korosten,Bezirksamt Spandau,1570238.html,1570238.txt,841
1570207,https://www.berlin.de/ba-tempelhof-schoeneberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570207.php,16.06.2025,Eröffnung der Jelbi-Station U Friedrich-Wilhelm-Platz/Schmiljanstraße,Bezirksamt Tempelhof-Schöneberg,1570207.html,1570207.txt,1087
1570194,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570194.php,16.06.2025,Presseeinladung: Berliner Hoffest 2025 am 1. Juli – Akkreditierung erforderlich,Presse- und Informationsamt des Landes Berlin,1570194.html,1570194.txt,559
1570162,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570162.php,16.06.2025,Einschränkungen des Dienstbetriebes im Bereich Kindertagesbetreuung und Familienservicebüro des Jugendamtes,Bezirksamt Treptow-Köpenick,1570162.html,1570162.txt,910
1570135,https://www.berlin.de/sen/bjf/service/presse/pressearchiv-2025/pressemitteilung.1570135.php,16.06.2025,Berlin geht neue Wege: Einführung eines Flex-Masters im Lehramtsstudium,"Senatsverwaltung für Bildung, Jugend und Familie",1570135.html,1570135.txt,969
1570142,https://www.berlin.de/sen/wgp/presse/2025/pressemitteilung.1570142.php,16.06.2025,Berlin geht neue Wege: Einführung eines Flex-Masters im Lehramtsstudium,"Senatsverwaltung für Wissenschaft, Gesundheit und Pflege",1570142.html,1570142.txt,1166
1570141,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570141.php,16.06.2025,„Kai Wegner vor Ort“ am 21. Juli 2025 in Neukölln,Presse- und Informationsamt des Landes Berlin,1570141.html,1570141.txt,539
1570124,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570124.php,16.06.2025,Für immer jung – Die Poeten vom Müggelsee feiern Geburtstag,Bezirksamt Treptow-Köpenick,1570124.html,1570124.txt,1137
1570096,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570096.php,16.06.2025,„Musique dans le jardin“ bringt sommerliche Klänge in den Museumsgarten,Bezirksamt Reinickendorf,1570096.html,1570096.txt,737
1570075,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1570075.php,16.06.2025,Wegner zum 72. Jahrestag des Aufstands vom 17. Juni 1953,Presse- und Informationsamt des Landes Berlin,1570075.html,1570075.txt,629
1570114,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570114.php,16.06.2025,Schließtage der Bürgerämter in Friedrichshain-Kreuzberg,Bezirksamt Friedrichshain-Kreuzberg,1570114.html,1570114.txt,1305
1570100,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1570100.php,16.06.2025,Online-Befragung des Bezirksamtes zum Sportverhalten,Bezirksamt Friedrichshain-Kreuzberg,1570100.html,1570100.txt,1339
1570058,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570058.php,16.06.2025,Baumfällungen in der Woche vom 16. bis 20. Juni 2025,Bezirksamt Treptow-Köpenick,1570058.html,1570058.txt,881
1570066,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570066.php,16.06.2025,Kranzniederlegung für die Opfer des Volksaufstandes vom 17. Juni 1953,Bezirksamt Reinickendorf,1570066.html,1570066.txt,546
1570059,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570059.php,16.06.2025,Haushaltsbefragung im Milieuschutzgebiet „Letteplatz“ gestartet,Bezirksamt Reinickendorf,1570059.html,1570059.txt,781
1570037,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570037.php,16.06.2025,"Kiezfest Rollbergesiedlung – Nachbarschaft gestalten, Kiezlabor erleben",Bezirksamt Reinickendorf,1570037.html,1570037.txt,725
1569918,https://www.berlin.de/sen/uvk/presse/pressemitteilungen/2025/pressemitteilung.1569918.php,14.06.2025,Volle Fahrt voraus für Berlins Vielfalt,"Senatsverwaltung für Mobilität, Verkehr, Klimaschutz und Umwelt",1569918.html,1569918.txt,4167
1569920,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569920.php,13.06.2025,Die Rolle der Frauen in der Köpenicker Blutwoche. Eine Spurensuche im Elsengrund.,Bezirksamt Treptow-Köpenick,1569920.html,1569920.txt,939
1569941,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1569941.php,13.06.2025,28. Neuköllner Theatertreffen der Grundschulen,Bezirksamt Neukölln,1569941.html,1569941.txt,907
1569759,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569759.php,13.06.2025,Sommerfest im Wuhlegarten: Einladung zum interkulturellen Gartenfest in Köpenick,Bezirksamt Treptow-Köpenick,1569759.html,1569759.txt,924
1569921,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569921.php,13.06.2025,Verkehrssicherheit im Blick: Gemeinsamer Einsatz von Berliner Feuerwehr und Ordnungsamt Reinickendorf,Bezirksamt Reinickendorf,1569921.html,1569921.txt,726
1569904,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569904.php,13.06.2025,Schließzeiten im Amt für Soziales,Bezirksamt Reinickendorf,1569904.html,1569904.txt,669
1569899,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1569899.php,13.06.2025,Extreme Hitze in Innenstädten: Wie Friedrichshain-Kreuzberg seine Bürger*innen schützt,Bezirksamt Friedrichshain-Kreuzberg,1569899.html,1569899.txt,1652
1569898,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569898.php,13.06.2025,Kandidat:innen für Bürgermedaille 2025 gesucht,Bezirksamt Charlottenburg-Wilmersdorf,1569898.html,1569898.txt,1111
1569807,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569807.php,13.06.2025,Das VHS-Herbstprogramm 2025 ist da,Bezirksamt Treptow-Köpenick,1569807.html,1569807.txt,1117
1569874,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569874.php,13.06.2025,BVV: 38. öffentliche Sitzung der Bezirksverordnetenversammlung Steglitz-Zehlendorf am 18.06.2025,Bezirksamt Steglitz-Zehlendorf,1569874.html,1569874.txt,692
1569864,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569864.php,13.06.2025,radio connection in Marzahn-Hellersdorf: Spendenaufruf für festes Tonstudio,Bezirksamt Marzahn-Hellersdorf,1569864.html,1569864.txt,656
1569928,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1569928.php,13.06.2025,Erste Schließfächer für das Hab und Gut von obdachlosen Menschen in Neukölln,Bezirksamt Neukölln,1569928.html,1569928.txt,994
1569653,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569653.php,13.06.2025,Woche der Religionen – Eine lokale Tradition im Entstehen,Bezirksamt Treptow-Köpenick,1569653.html,1569653.txt,1086
1569629,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569629.php,13.06.2025,BVV: 23. öffentliche Sitzung des Sportausschusses am 19.06.2025,Bezirksamt Steglitz-Zehlendorf,1569629.html,1569629.txt,695
1569630,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1569630.php,13.06.2025,"Neues ""Open Space""-Angebot in Marzahn-Hellersdorf für junge Erwachsene in der Selbsthilfe",Bezirksamt Marzahn-Hellersdorf,1569630.html,1569630.txt,648
1569645,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1569645.php,13.06.2025,Sommerfest der Else-Ury-Familienbibliothek lädt Familien zum Feiern ein,Bezirksamt Friedrichshain-Kreuzberg,1569645.html,1569645.txt,1458
1569617,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1569617.php,13.06.2025,Wegner zum Nationalen Veteranentag am Sonntag – Regierender Bürgermeister verleiht Fahnenband an das Sanitätsregiment 1 Führungsbereich Berlin,Presse- und Informationsamt des Landes Berlin,1569617.html,1569617.txt,645
1569526,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569526.php,13.06.2025,Einweihung zweier Gedenktafeln auf dem Friedhof Rahnsdorf – Erinnerung an Johann Fischer-Jung und Emil Weiß,Bezirksamt Treptow-Köpenick,1569526.html,1569526.txt,953
1569580,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2025/pressemitteilung.1569580.php,13.06.2025,Fête de la Musique im Bärenzwinger Berlin,Bezirksamt Mitte,1569580.html,1569580.txt,900
1569560,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1569560.php,13.06.2025,Sozialpolitische Sprechstunde für Seniorinnen und Senioren gemeinsam mit der Seniorenvertretung am 14. Juli 2025,Bezirksamt Treptow-Köpenick,1569560.html,1569560.txt,866
1569549,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1569549.php,12.06.2025,Wegner übergibt Dietmar Arnold das Bundesverdienstkreuz,Presse- und Informationsamt des Landes Berlin,1569549.html,1569549.txt,585
